insecte_sc,insecte_fr,Ordre,Super famille,Famille,Sous famille,Genre,Espèce
Merodon et autres,Les Syrphes à l'aspect de bourdon,Diptera,Syrphoidea,Syrphidae,Eristalinae,Merodon,
Andrenidae,Les Andrènes difficiles à déterminer,Hymenoptera,Apoidea,Andrenidae,,,
Nymphalis polychloros,La Grande Tortue,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalis,Nymphalis polychloros
"Anthophora, Eucera",Les Anthophores autres et espèces proches,Hymenoptera,Apoidea,Apidae,Apinae,Eucera,
Chrysotoxum,Les Chrysotoxes,Diptera,Syrphoidea,Syrphidae,Syrphinae,Chrysotoxum,
Pararge aegeria,Le Tircis,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Pararge,Pararge aegeria
Xylocopa,Les Xylocopes,Hymenoptera,Apoidea,Apidae,Xylocopinae,Xylocopa,
Bombus,Les Bourdons noirs à bande(s) jaune(s) et cul rouge,Hymenoptera,Apoidea,Apidae,Apinae,Bombus,
Andrenidae et autres,Les Andrènes rayées difficiles à déterminer,Hymenoptera,Apoidea,Andrenidae,,,
Chalcidoidea,Les Terebrants Chalcidiens et autres,Hymenoptera,Chalcidoidea,,,,
Osmia cornuta et autres,Les Osmies noir et roux (mâles),Hymenoptera,Apoidea,Megachilidae,Megachilinae,Osmia,Osmia cornuta
Gonepteryx,Les Citrons,Lepidoptera,Papilionoidea,Pieridae,Coliadinae,Gonepteryx,
Aglais io,Le Paon du jour,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Aglais,Aglais io
Vanessa atalanta,Le Vulcain,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Vanessa,Vanessa atalanta
"Curculionidae, Apionidae",Les Apions,Coleoptera,Curculionoidea,Apionidae,,,
Coreidae,Les Coréides,Hemiptera,Coreoidea,Coreidae,,,
Araneidae,Les Epeires et autres Araneidae,Araneae,Araneoidea,Araneidae,,,
Ichneumonidae,Les Ichneumons et autres,Hymenoptera,Ichneumonoidea,Ichneumonidae,,,
Nitidulidae,Les Nitidulides,Coleoptera,Cucujoidea,Nitidulidae,,,
Aglais urticae,La Petite Tortue,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalis,Nymphalis urticae
Eristalinus,Les Eristales aux yeux ponctués,Diptera,Syrphoidea,Syrphidae,Eristalinae,Eristalinus,
Heteroptera,Les Punaises difficiles à déterminer,Hemiptera,,,,,
Thaumatomyia,Les Chloropides jaunes,Diptera,Carnoidea,Chloropidae,Chloropinae,Thaumatomyia,
Larinus et autres,Les Charançons (autres),Coleoptera,Curculionoidea,Curculionidae,Lixinae,Larinus,
Stomorhina lunata,La Stomorhina,Diptera,Oestroidea,Rhiniidae,,Stomorhina,Stomorhina lunata
Stratiomys,Les Stratiomes jaune et noir,Diptera,,Stratiomyidae,Stratiomyinae,Stratiomys,
"Helophilus, Parhelophilus",Les Hélophiles,Diptera,Syrphoidea,Syrphidae,Eristalinae,Parhelophilus,
Libythea celtis,L'Echancré,Lepidoptera,Papilionoidea,Nymphalidae,Libytheinae,Libythea,Libythea celtis
Coccinellidae,Les Coccinelles,Coleoptera,Coccinelloidea,Coccinellidae,,,
Anthophora et autres,Les Anthophores mâles,Hymenoptera,Apoidea,Apidae,Apinae,Anthophora,
"Allantus, Macrophya et autres",Les Tenthrèdes noir et blanc,Hymenoptera,Tenthredinoidea,Tenthredinidae,Tenthredininae,Macrophya,
Miridae,Les Mirides,Hemiptera,Cimicoidea,Miridae,,,
Bombus,Les Bourdons à pilosité fauve à grise,Hymenoptera,Apoidea,Apidae,Apinae,Bombus,
Bombus,Les Bourdons noirs à cul rouge,Hymenoptera,Apoidea,Apidae,Apinae,Bombus,
Pterophoridae,Les Ptérophores,Lepidoptera,Pterophoroidea,Pterophoridae,,,
Sphaerophoria scripta,Le Syrphe porte-plume (mâle),Diptera,Syrphoidea,Syrphidae,Syrphinae,Sphaerophoria,Sphaerophoria scripta
Andrena,Les Andrènes à pilosité noir et blanc,Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,
Osmia,Les Osmies,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Osmia,
Sphaerophoria,Les Syrphes Sphaerophoria (femelle),Diptera,Syrphoidea,Syrphidae,Syrphinae,Sphaerophoria,
Syrphinae,Les Syrphes aux fémurs enflés,Diptera,Syrphoidea,Syrphidae,Syrphinae,,
Tachinidae,Les Tachinaires difficiles à déterminer,Diptera,Oestroidea,Tachinidae,,,
Polygonia,Le Robert-le-Diable,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalis,
Acrididae,Les Criquets,Orthoptera,Acridoidea,Acrididae,,,
Halictidae,Les Halictes (mâles),Hymenoptera,Apoidea,Halictidae,,,
Vespa velutina,Le Frelon asiatique,Hymenoptera,Vespoidea,Vespidae,Vespinae,Vespa,Vespa velutina
Misumena,Les Araignées crabes Misumena,Araneae,,Thomisidae,,Misumena,
Oulema,Les Criocères bicolores,Coleoptera,Chrysomeloidea,Chrysomelidae,Criocerinae,Oulema,
Andrena fulva,L'Andrène fauve (femelle),Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,Andrena fulva
Formicidae,Les Fourmis difficiles à déterminer,Hymenoptera,Formicoidea,Formicidae,,,
Sphecodes et autres,Les Abeilles à abdomen rouge,Hymenoptera,Apoidea,Halictidae,Halictinae,Sphecodes,
Nomada et autres,"Les Abeilles coucou noir, jaune et rouge",Hymenoptera,Apoidea,Apidae,Nomadinae,Nomada,
Osmia cornuta et autres,Les Osmies noir et roux (femelles),Hymenoptera,Apoidea,Megachilidae,Megachilinae,Osmia,Osmia cornuta
Pieris,Les Piérides,Ericales,,Ericaceae,Vaccinioideae,Pieris,
Sciaridae,Les Sciarides,Diptera,Sciaroidea,Sciaridae,,,
"Aculepeira, Neoscona",Les Epeires à dessin de feuille de Chêne,Araneae,Araneoidea,Araneidae,,Neoscona,
Araniella,Les Epeires concombre,Araneae,Araneoidea,Araneidae,,Araniella,
"Bombylius, Systoechus",Les Bombyles,Diptera,Asiloidea,Bombyliidae,Bombyliinae,Systoechus,
Sphaerophoria,Les Syrphes Sphaerophoria (mâle),Diptera,Syrphoidea,Syrphidae,Syrphinae,Sphaerophoria,
Eristalinus taeniops,L'Eristale taeniops,Diptera,Syrphoidea,Syrphidae,Eristalinae,Eristalinus,Eristalinus taeniops
Melecta,Les Abeilles coucou Melecta,Hymenoptera,Apoidea,Apidae,Apinae,Melecta,
Celastrina argiolus,L'Azuré des Nerpruns (femelle),Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Celastrina,Celastrina argiolus
Empis et autres,Les Empidides,Diptera,Empidoidea,Empididae,Empidinae,Empis,
Spilostethus pandurus,La Viole rouge,Hemiptera,Lygaeoidea,Lygaeidae,Lygaeinae,Spilostethus,Spilostethus pandurus
Oxyopes,Les Araignées lynx,Araneae,Lycosoidea,Oxyopidae,,Oxyopes,
Collembola,Les Collemboles,,,,,,
Carcharodus et autres,Les Hespéries brunes sans taches,Lepidoptera,Hesperioidea,Hesperiidae,Pyrginae,Carcharodus,
Bombus,Les Bourdons jaune et noir,Hymenoptera,Apoidea,Apidae,Apinae,Bombus,
Gymnosoma,Les Tachinaires fauves à abdomen rond,Diptera,Oestroidea,Tachinidae,Phasiinae,Gymnosoma,
"Cetonia, Protaetia",Les Cétoines métalliques à marques blanches,Coleoptera,Scarabaeoidea,Scarabaeidae,Cetoniinae,Protaetia,
Bombus,Les Bourdons à thorax fauve et à abdomen noir et blanc,Hymenoptera,Apoidea,Apidae,Apinae,Bombus,
Thomisus,Les Araignées crabes Thomisus,Araneae,,Thomisidae,,Thomisus,
Oxythyrea funesta,Le Drap mortuaire,Coleoptera,Scarabaeoidea,Scarabaeidae,Cetoniinae,Oxythyrea,Oxythyrea funesta
Corizus hyoscyami,La Punaise de la Jusquiame,Hemiptera,Coreoidea,Rhopalidae,,Corizus,Corizus hyoscyami
Pompilidae,Les Pompiles,Hymenoptera,Pompiloidea,Pompilidae,,,
Tenthredinidae,Les Tenthrèdes,Hymenoptera,Tenthredinoidea,Tenthredinidae,,,
Andrena,Les Andrènes à abdomen rouge et noir (autres),Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,
Myathropa florea,L'Eristale des fleurs,Diptera,Syrphoidea,Syrphidae,Eristalinae,Myathropa,Myathropa florea
Polyommatus et autres,Les Azurés bleus sans chevrons oranges,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatus,
Lygaeus,Les Lygées rouges à points blancs,Hemiptera,Lygaeoidea,Lygaeidae,Lygaeinae,Lygaeus,
Allantus et autres,Les Tenthrèdes noires,Hymenoptera,Tenthredinoidea,Tenthredinidae,Allantinae,Allantus,
"Allantus, Dolerus et autres",Les Tenthrèdes noir et fauve orangé,Hymenoptera,Tenthredinoidea,Tenthredinidae,Selandriinae,Dolerus,
Tachina et autres,Les Tachinaires fauves velues,Diptera,Oestroidea,Tachinidae,Tachininae,Tachina,
Synema globosum,L'Araignée crabe Napoléon,Araneae,,Thomisidae,,Synema,Synema globosum
Mesembrina,Les Mouches Mesembrina,Diptera,Muscoidea,Muscidae,Muscinae,Mesembrina,
Tropinota,Les Cétoines sombres soyeuses,Coleoptera,Scarabaeoidea,Scarabaeidae,Cetoniinae,Tropinota,
Megachile,Les Mégachiles,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Megachile,
Euchloe et autres,Les Piérides marbrées,Lepidoptera,Papilionoidea,Pieridae,Pierinae,Euchloe,
Conopidae,Les Conopides (autres),Diptera,Conopoidea,Conopidae,,,
Leptidea,Les Piérides à ailes rondes,Lepidoptera,Papilionoidea,Pieridae,Dismorphiinae,Leptidea,
Argynnis et autres,Les Nacrés et autres,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Argynnis,
Anthocharis cardamines,L'Aurore (mâle),Lepidoptera,Papilionoidea,Pieridae,Pierinae,Anthocharis,Anthocharis cardamines
Callophrys,Les Théclas verts (Méditerranée),Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Callophrys,
Graphomya,Les Graphomyies,Diptera,Muscoidea,Muscidae,Mydaeinae,Graphomya,
Oreina et autres,Les Chrysomèles à motifs,Coleoptera,Chrysomeloidea,Chrysomelidae,Chrysomelinae,Oreina,
Bibio et autres,Les Bibions et autres,Diptera,Bibionoidea,Bibionidae,Bibioninae,Bibio,
Bombus,Les Bourdons (autres),Hymenoptera,Apoidea,Apidae,Apinae,Bombus,
Crabronidae,Les Guêpes Crabronidae difficiles à déterminer,Hymenoptera,Apoidea,Crabronidae,,,
Ferdinandea cuprea,La Ferdinandea cuprea,Diptera,Syrphoidea,Syrphidae,Eristalinae,Ferdinandea,Ferdinandea cuprea
Conops et autres,Les Conopides jaune et noir,Diptera,Conopoidea,Conopidae,Conopinae,Conops,
Chrysomelidae,Les Chrysomèles bicolores,Coleoptera,Chrysomeloidea,Chrysomelidae,,,
Cryptocephalus et autres,Les Chrysomèles unies,Coleoptera,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,Cryptocephalus,
Iphiclides podalirius,Le Flambé,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Iphiclides,Iphiclides podalirius
Pieris,Les Piérides nervurées,Ericales,,Ericaceae,Vaccinioideae,Pieris,
Lycaena phlaeas,Le Cuivré commun,Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaena,Lycaena phlaeas
Lygus lineolaris,Les Punaises prédatrices ternes,Hemiptera,Cimicoidea,Miridae,Mirinae,Lygus,Lygus lineolaris
Epeoloides coecutiens,L'Abeille coucou Epeloides (femelle),Hymenoptera,Apoidea,Apidae,Apinae,Epeoloides,Epeoloides coecutiens
Bruchus et autres,Les Bruches,Coleoptera,Chrysomeloidea,Chrysomelidae,Bruchinae,Bruchus,
"Vespula, Dolichovespula",Les Guêpes Vespula,Hymenoptera,Vespoidea,Vespidae,Vespinae,Dolichovespula,
Lepidoptera,Les Microlépidoptères difficiles à déterminer,Lepidoptera,,,,,
Pyrausta,Les Pyrales pourpres aux dessins jaunes,Lepidoptera,Pyraloidea,Crambidae,Pyraustinae,Pyrausta,
Dermestidae,Les Dermestes,Coleoptera,Bostrichoidea,Dermestidae,,,
Philodromus,Les Araignées crabes Philodromus,Araneae,,Philodromidae,,Philodromus,
Amegilla et autres,Les Anthophores rayés et espèces proches,Hymenoptera,Apoidea,Apidae,Apinae,Amegilla,
Lepidoptera,Les Lépidoptères difficiles à déterminer,Lepidoptera,,,,,
Vanessa cardui,La Belle-Dame,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Vanessa,Vanessa cardui
Issoria lathonia,Le Petit Nacré,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Issoria,Issoria lathonia
Dasypoda,Les Abeilles à culottes,Hymenoptera,Apoidea,Melittidae,Dasypodainae,Dasypoda,
Eurydema,Les Punaises Eurydema,Hemiptera,Pentatomoidea,Pentatomidae,Pentatominae,Eurydema,
Trichodes alvearius,Le Clairon des ruches,Coleoptera,Cleroidea,Cleridae,Clerinae,Trichodes,Trichodes alvearius
Geron,Les Bombyles bossus,Diptera,Asiloidea,Bombyliidae,Gerontinae,Geron,
Leucozona glaucia,Le Syrphe Leucozona,Diptera,Syrphoidea,Syrphidae,Syrphinae,Leucozona,Leucozona glaucia
"Tibellus, Paratibellus",Les Araignées crabes minces,Araneae,Araneoidea,Philodromidae,,,
Runcinia grammica,L'Araignée crabe Runcinia,Araneae,,Thomisidae,,Runcinia,Runcinia grammica
Oulema,Les Chrysomèles Oulema bleues,Coleoptera,Chrysomeloidea,Chrysomelidae,Criocerinae,Oulema,
Cylindromyia,Les Tachinaires à abdomen cylindrique,Diptera,Oestroidea,Tachinidae,Phasiinae,Cylindromyia,
Rhingia,Les Rhingies,Diptera,Syrphoidea,Syrphidae,Eristalinae,Rhingia,
Meloe,Les Triongulins,Coleoptera,Tenebrionoidea,Meloidae,Meloinae,Meloe,
Byturus ochraceus,Le Byturide aux gros yeux,Coleoptera,Cleroidea,Byturidae,,Byturus,Byturus ochraceus
Ebrechtella tricuspidata,L'Araignée crabe Ebrechtella,Araneae,,Thomisidae,,Ebrechtella,Ebrechtella tricuspidata
Myrmicinae,Les Fourmis à double pétiole,Hymenoptera,Formicoidea,Formicidae,Myrmicinae,,
"Stelis, Heriades",Les Mégachiles de petite taille,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Heriades,
plusieurs Dasytidae,Les Dasytides noirs,Coleoptera,Cleroidea,Melyridae,,,
Ebaeus,Les Malachides à thorax rouge,Coleoptera,Cleroidea,Melyridae,Malachiinae,Ebaeus,
Grammoptera et autres,Les Longicornes entièrement noirs,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Grammoptera,
Anthomyia et autres,Les Mouches tachetées,Diptera,Muscoidea,Anthomyiidae,Anthomyiinae,Anthomyia,
Chrysopidae,Les Chrysopes,Neuroptera,,Chrysopidae,,,
Syritta,Les Syrittes,Diptera,Syrphoidea,Syrphidae,Eristalinae,Syritta,
Lasiommata,Le Satyre et autres,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Lasiommata,
Rhynocoris,Les Réduves,Hemiptera,Reduvioidea,Reduviidae,Harpactorinae,Rhynocoris,
Heteroptera,Les larves de Punaises,Hemiptera,,,,,
Tenthredo et autres,Les Tenthrèdes noir et jaune,Hymenoptera,Tenthredinoidea,Tenthredinidae,Tenthredininae,Tenthredo,
plusieurs Adelidae,Les Adèles unies,Lepidoptera,Incurvarioidea,Adelidae,,,
Cimbicidae,Les Cimbicides,Hymenoptera,Tenthredinoidea,Cimbicidae,,,
"Dorycera, Otites",Les Ulidides allongés,Diptera,Tephritoidea,Ulidiidae,Otitinae,Otites,
Scraptiidae,Les Scraptides,Coleoptera,Tenebrionoidea,Scraptiidae,,,
Araschnia levana,La Carte géographique forme orangé,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Araschnia,Araschnia levana
Coenonympha,Les Fadets sans bande blanche,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Coenonympha,
Callophrys rubi,Le Thécla de la Ronce,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Callophrys,Callophrys rubi
"Tenthredo, Rhogogaster",Les Tenthrèdes vert et noir,Hymenoptera,Tenthredinoidea,Tenthredinidae,Tenthredininae,Rhogogaster,
Dicranocephalus,Les Dicranocéphales,Hemiptera,Coreoidea,Stenocephalidae,,Dicranocephalus,
plusieurs Adelidae,Les Adèles à motifs,Lepidoptera,Incurvarioidea,Adelidae,,,
Mordellidae,Les Mordelles,Coleoptera,Tenebrionoidea,Mordellidae,,,
Scatopsidae,Les Scatopsides,Diptera,Scatopsoidea,Scatopsidae,,,
Melitaea cinxia,La Mélitée du Plantain,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaea,Melitaea cinxia
"Polyommatus, Plebeius et autres",Les Azurés marrons à chevrons oranges,Lepidoptera,Papilionoidea,Lycaenidae,,,
Colias,Le Souci et autres,Lepidoptera,Papilionoidea,Pieridae,Coliadinae,Colias,
Malachius et autres,Les Malachides à points rouges,Coleoptera,Cleroidea,Melyridae,Malachiinae,Malachius,
Geometridae,Les Géomètres,Lepidoptera,Geometroidea,Geometridae,,,
Cantharis,Les Cantharides,Coleoptera,Elateroidea,Cantharidae,Cantharinae,Cantharis,
Phalangiidae,Les Opilions,Opiliones,Phalangioidea,Phalangiidae,,,
Platystoma,Les Mouches Platystoma,Diptera,Tephritoidea,Platystomatidae,Platystomatinae,Platystoma,
Coccinellidae,Les larves de Coccinelles,Coleoptera,Coccinelloidea,Coccinellidae,,,
Ceratina cucurbitina,L'Abeille Ceratina noire,Hymenoptera,Apoidea,Apidae,Xylocopinae,Ceratina,Ceratina cucurbitina
Lycaena tityrus,L'Argus myope (mâle),Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaena,Lycaena tityrus
Valgus hemipterus,La Valgue hémiptère,Coleoptera,Scarabaeoidea,Scarabaeidae,Valginae,Valgus,Valgus hemipterus
Ampedus et autres,Les Taupins unis,Coleoptera,Elateroidea,Elateridae,Elaterinae,Ampedus,
Hylaeus,Les Abeilles Hylaeus à taches blanches,Hymenoptera,Apoidea,Colletidae,Hylaeinae,Hylaeus,
Trichodes octopunctatus,Le Clairon à 8 points,Coleoptera,Cleroidea,Cleridae,Clerinae,Trichodes,Trichodes octopunctatus
"Delta, Discoelius, Eumenes",Les Guêpes maçonnes à abdomen long,Hymenoptera,Vespoidea,Vespidae,Eumeninae,Eumenes,
"Ectophasia, Phasia",Les Tachinaires fauves à abdomen aplati,Diptera,Oestroidea,Tachinidae,Phasiinae,Phasia,
Anthaxia et autres,Les Buprestes unis brillants,Coleoptera,Buprestoidea,Buprestidae,Buprestinae,Anthaxia,
Ceratina,Les Abeilles Ceratina bleutées,Hymenoptera,Apoidea,Apidae,Xylocopinae,Ceratina,
Anthaxia,L'Anthaxie demi-cuivrée et autres,Coleoptera,Buprestoidea,Buprestidae,Buprestinae,Anthaxia,
Papilio machaon,Le Machaon,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilio,Papilio machaon
"Nomioides, Celhalictus",Les Halictes noir et jaune,Hymenoptera,Apoidea,Halictidae,,,
Eurydema oleracea,La Punaise du Chou,Hemiptera,Pentatomoidea,Pentatomidae,Pentatominae,Eurydema,Eurydema oleracea
plusieurs Dasytidae,Les Dasytides bleus et verts,Coleoptera,Cleroidea,Melyridae,,,
Elateridae,Les Taupins mouchetés,Coleoptera,Elateroidea,Elateridae,,,
Protaetia,Les Cétoines métalliques unies,Coleoptera,Scarabaeoidea,Scarabaeidae,Cetoniinae,Protaetia,
Diaea,Les Araignées crabes Diaea,Araneae,,Thomisidae,,Diaea,
"Ammophila, Hoplammophila",Les Ammophiles,Hymenoptera,Apoidea,Sphecidae,Ammophilinae,Hoplammophila,
Asilidae,Les Asilides,Diptera,Asiloidea,Asilidae,,,
Curculio et autres,Les Balanins,Coleoptera,Curculionoidea,Curculionidae,Curculioninae,Curculio,
Clytus et autres,Les Clytes noir et jaune,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Clytus,
"Anisoplia, Phyllopertha",Les Hannetons,Coleoptera,Scarabaeoidea,Scarabaeidae,Rutelinae,Phyllopertha,
Graphosoma lineatum,Le Pentatome rayé,Hemiptera,Pentatomoidea,Pentatomidae,Podopinae,Graphosoma,Graphosoma lineatum
Euclidia glyphica,La Doublure jaune,Lepidoptera,Noctuoidea,Erebidae,Erebinae,Euclidia,Euclidia glyphica
Sphex et autres,Les Sphégiens à abdomen orange et noir,Hymenoptera,Apoidea,Sphecidae,Sphecinae,Sphex,
Physophora et autres,Les Ulidides métalliques,Siphonophorae,,Physophoridae,,Physophora,
Noctuidae,Les Noctuelles,Lepidoptera,Noctuoidea,Noctuidae,,,
Elateridae,Les Taupins,Coleoptera,Elateroidea,Elateridae,,,
Zerynthia polyxena,La Diane,Lepidoptera,Papilionoidea,Papilionidae,Parnassiinae,Zerynthia,Zerynthia polyxena
Pyrgus et autres,Les Hespéries brunes à taches,Lepidoptera,Hesperioidea,Hesperiidae,Pyrginae,Pyrgus,
Bibio hortulanus,Le Bibion précoce (femelle),Diptera,Bibionoidea,Bibionidae,Bibioninae,Bibio,Bibio hortulanus
Oedemera,Les Oedemères noirs,Coleoptera,Tenebrionoidea,Oedemeridae,,Oedemera,
Melitaea phoebe,Le Grand Damier,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaea,Melitaea phoebe
Anthaxia et autres,Les Buprestes unis ternes,Coleoptera,Buprestoidea,Buprestidae,Buprestinae,Anthaxia,
Spilostethus saxatilis,La Punaise à damier,Hemiptera,Lygaeoidea,Lygaeidae,Lygaeinae,Spilostethus,Spilostethus saxatilis
Cydnidae,Les Cydnides à motifs,Hemiptera,Pentatomoidea,Cydnidae,,,
Oedemera,Les Oedemères verts,Coleoptera,Tenebrionoidea,Oedemeridae,,Oedemera,
Pyrochroa serraticornis,Le Cardinal à tête rouge,Coleoptera,Tenebrionoidea,Pyrochroidae,,Pyrochroa,Pyrochroa serraticornis
Phymata crassipes,La Punaise guitare,Hemiptera,Reduvioidea,Phymatidae,Phymatinae,Phymata,Phymata crassipes
Andrena morio,L'Andrène noire,Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,Andrena morio
Rhagonycha,Les Téléphores fauves à thorax noir,Coleoptera,Elateroidea,Cantharidae,Cantharinae,Rhagonycha,
Panorpidae,Les Panorpes,Mecoptera,,Panorpidae,,,
Cydnidae,Les Cydnides unis,Hemiptera,Pentatomoidea,Cydnidae,,,
Sapygidae,Les Sapygides,Hymenoptera,Pompiloidea,Sapygidae,,,
Ampedus et autres,Les Taupins rouges,Coleoptera,Elateroidea,Elateridae,Elaterinae,Ampedus,
"Phyllobius, Polydrusus",Les Charançons verts,Coleoptera,Curculionoidea,Curculionidae,Entiminae,Polydrusus,
Dinoptera collaris,Le Dinoptère,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Dinoptera,Dinoptera collaris
